time,signal
-3.811192,0.009367938
-3.71929,0.00911465
-3.63214,0.008875708
-3.549344,0.008649841
-3.470546,0.008435905
-3.395415,0.008232897
-3.323683,0.008039945
-3.255096,0.007856265
-3.189425,0.007681145
-3.126469,0.007513948
-3.066036,0.007354101
-3.00797,0.007201098
-2.952118,0.007054475
-2.898338,0.0069138
-2.846506,0.006778692
-2.796508,0.006648803
-2.748243,0.00652382
-2.701601,0.006403427
-2.656502,0.006287368
-2.612862,0.006175393
-2.570601,0.006067276
-2.529661,0.005962809
-2.489964,0.005861791
-2.451456,0.005764047
-2.414071,0.0056694
-2.377763,0.005577693
-2.342483,0.005488793
-2.308188,0.005402568
-2.274822,0.005318869
-2.242363,0.0052376
-2.210752,0.005158629
-2.17997,0.005081879
-2.14998,0.005007242
-2.120745,0.004934612
-2.092238,0.004863922
-2.064432,0.004795095
-2.037301,0.004728036
-2.010812,0.004662673
-1.98495,0.004598957
-1.959689,0.004536819
-1.935009,0.004476187
-1.910885,0.00441701
-1.887302,0.004359239
-1.864243,0.004302819
-1.841686,0.004247703
-1.819619,0.00419384
-1.798017,0.004141182
-1.776878,0.004089691
-1.756186,0.004039358
-1.735905,0.003990077
-1.716049,0.003941869
-1.696594,0.003894679
-1.677533,0.003848484
-1.658841,0.00380323
-1.640521,0.003758912
-1.622556,0.003715483
-1.604934,0.003672921
-1.587659,0.003631218
-1.570706,0.003590326
-1.554071,0.003550228
-1.537742,0.003510888
-1.521715,0.003472304
-1.505984,0.003434447
-1.490535,0.003397296
-1.475367,0.003360833
-1.460466,0.003325031
-1.445831,0.003289883
-1.431451,0.003255359
-1.417322,0.003221458
-1.403442,0.003188158
-1.389795,0.003155429
-1.376381,0.003123273
-1.363199,0.003091681
-1.350256,0.003060663
-1.337484,0.00303007
-1.324945,0.003000042
-1.312615,0.002970508
-1.300488,0.002941473
-1.288558,0.002912911
-1.276819,0.002884811
-1.265266,0.002857158
-1.253907,0.002829964
-1.242719,0.00280319
-1.231711,0.002776846
-1.220878,0.002750914
-1.210207,0.002725374
-1.199706,0.002700238
-1.189366,0.002675492
-1.179185,0.002651117
-1.169161,0.002627116
-1.159282,0.002603462
-1.149562,0.002580183
-1.139979,0.002557233
-1.130545,0.002534624
-1.121252,0.002512352
-1.112093,0.002490404
-1.103081,0.002468788
-1.094183,0.002447454
-1.085426,0.002426444
-1.076795,0.002405741
-1.068288,0.002385315
-1.059903,0.002365183
-1.051639,0.002345329
-1.043493,0.002325756
-1.035462,0.00230645
-1.02755,0.002287422
-1.019744,0.002268642
-1.012053,0.002250128
-1.004466,0.002231863
-0.996993,0.002213851
-0.9896131,0.002196065
-0.9823422,0.002178528
-0.9751688,0.002161223
-0.9681009,0.002144153
-0.9611254,0.002127305
-0.9542459,0.002110679
-0.947462,0.002094268
-0.9407718,0.002078078
-0.9341692,0.00206209
-0.9276598,0.002046317
-0.9212388,0.002030747
-0.9149061,0.002015383
-0.9086517,0.002000198
-0.9024825,0.001985209
-0.8963938,0.001970415
-0.890413,0.001955839
-0.8844875,0.001941419
-0.8786403,0.001927178
-0.8728724,0.001913115
-0.8671886,0.001899243
-0.8615764,0.001885534
-0.8560376,0.001871999
-0.8505729,0.001858633
-0.8451841,0.001845433
-0.8398645,0.001832401
-0.8346145,0.001819527
-0.8294341,0.001806807
-0.8243208,0.001794249
-0.8192714,0.001781836
-0.8142927,0.001769582
-0.8093773,0.00175747
-0.8045342,0.001745522
-0.7997463,0.00173371
-0.7950242,0.00172204
-0.7903595,0.001710515
-0.7857629,0.001699129
-0.7812234,0.001687884
-0.7767449,0.001676777
-0.7723192,0.001665795
-0.7679597,0.001654952
-0.7636512,0.001644238
-0.7593983,0.001633648
-0.7552102,0.00162321
-0.7510703,0.001612876
-0.7469836,0.001602665
-0.7429535,0.001592588
-0.7389751,0.001582631
-0.7350459,0.001572781
-0.7311771,0.001563074
-0.727355,0.001553469
-0.7235849,0.001543988
-0.7198609,0.001534616
-0.7161869,0.001525359
-0.712563,0.001516214
-0.708988,0.001507183
-0.7054591,0.00149826
-0.701979,0.001489447
-0.6985463,0.001480742
-0.6951548,0.00147214
